City,Fuel Type Code,State,EV Total Port Count (Beta)
campbell,ELEC,CA,129.0
campbellsville,ELEC,KY,2.0
campo,ELEC,CA,10.0
"campo rico, canóvanas",ELEC,PR,1.0
campton,ELEC,KY,3.0
canaan,ELEC,NY,2.0
canal winchester,ELEC,OH,6.0
canandaigua,ELEC,NY,23.0
canastota,ELEC,NY,20.0
canby,ELEC,OR,3.0
candler,ELEC,NC,4.0
canfield,ELEC,OH,4.0
cannon ball,ELEC,ND,6.0
cannon beach,ELEC,OR,17.0
cannon falls,ELEC,MN,3.0
canoga park,ELEC,CA,35.0
canonsburg,ELEC,PA,6.0
cantil,ELEC,CA,2.0
canton,ELEC,CT,123.0
cantwell,ELEC,AK,2.0
canyon,ELEC,WY,5.0
canyon country,ELEC,CA,3.0
canyon lake,ELEC,TX,4.0
canyon point,ELEC,UT,3.0
canyonville,ELEC,OR,4.0
cape canaveral,ELEC,FL,4.0
cape carteret,ELEC,NC,2.0
cape coral,ELEC,FL,15.0
cape elizabeth,ELEC,ME,11.0
cape girardeau,ELEC,MO,24.0
cape may,ELEC,NJ,19.0
cape may court house,ELEC,NJ,14.0
capital heights,ELEC,MD,2.0
capitol heights,ELEC,MD,18.0
capitola,ELEC,CA,26.0
captiva,ELEC,FL,4.0
captiva island,ELEC,FL,2.0
carbondale,ELEC,IL,27.0
cardiff by the sea,ELEC,CA,6.0
carefree,ELEC,AZ,2.0
caribou,ELEC,ME,1.0
carl junction,ELEC,MO,4.0
carle place,ELEC,NY,18.0
carlin,ELEC,NV,3.0
carlinville,ELEC,IL,2.0
carlisle,ELEC,PA,45.0
carlsbad,ELEC,CA,183.0
carlton,ELEC,OR,12.0
carmel,ELEC,IN,59.0
carmel by the sea,ELEC,CA,1.0
carmel hamlet,ELEC,NY,4.0
carmel valley,ELEC,CA,8.0
carmel-by-the-sea,ELEC,CA,22.0
